User,Rating,Date,Review,Sentiment_Score,Status
Md Rahmat,1,2026-03-05 14:42:39,before premium 🤡 after premium 💀,0.0,Neutral
Meryl Gabriel,5,2026-03-05 08:21:15,💚💚💚🧩🧩💚💿🟢🧩🍏🟢🧩🟢🧩M💚💚💚🎤🎵,0.0,Neutral
NO I dont want to see my name,2,2026-03-04 00:00:25,"The greed is unbearable. 3 ads in a row, then 3 more just one song later? This makes me want to delete the app, not buy Premium. Your algorithm is also broken: I’m listening to a sad playlist and getting blasted with hyper techno ""buy premium"" ads that completely ruin the mood. Also, stop pushing the ""at-home club"" nonsense. Nobody is using Spotify for house raves; we’re just trying to listen to music. You’ve ruined a great service by being out of touch. The ad frequency was fine a month ago.",0.03958333333333334,Neutral
n4t,1,2026-03-03 18:48:24,boicottt,0.0,Neutral
Android ProATM,1,2026-03-02 02:23:25,spotify hope one day u guys shutdown,0.0,Neutral
Agent Notty,5,2026-03-02 02:09:53,😳,0.0,Neutral
Raj 411,1,2026-03-01 14:00:57,"""I’ve been a Spotify user for a while, but lately, it’s been really disappointing. The app constantly lags, crashes on both mobile and desktop, and the sound quality doesn’t always match up to what I expect, especially with Premium. Also, it’s really frustrating how often the curated playlists repeat songs or feel outdated. I hope they improve these issues soon.""",-0.18571428571428572,Negative
Orineya Phalandwa,5,2026-03-01 10:04:56,mudau polo,0.0,Neutral
get2dharahan get2dharahan,5,2026-02-28 07:57:38,💥DHARSHAN💥,0.0,Neutral
Dima Raid,1,2026-02-27 18:18:50,"App funktioniert nicht richtig. Stockt ständig vor allem beim aufrufen sowie scrollen. Praktisch ist das schon über 3-5 Monate so. Spotify Support hilft nicht und verhindert aktiv das man diese kontaktieren kann. Lustigerweise noch vor kurzen ein Artikel gelesen das Spotify nur noch alles mit AI coded lässt und die ""Professionals"" überwachen. edit: App bringt ganzes Handy zum stocken. haben extreme Probleme mit Performance. Laggt durchgehend und crashed sogar.",0.2375,Positive
Antonija M,1,2026-02-27 04:37:22,only a few ads away from going thrifting cds,-0.1,Neutral
Ashik Anandhuz,2,2026-02-26 07:51:33,skip the premium payment immediately 😡,0.0,Neutral
Amani Iman Zamcida,5,2026-02-26 07:51:26,I enjoy this app! I can listen to music anytime!,0.625,Positive
Rajdeep Singh,5,2026-02-26 07:47:57,Excellent,1.0,Positive
Alex B,5,2026-02-26 07:45:19,Even the free version is better than other paid music streaming apps! will always be my go to💪,0.24791666666666667,Positive
Christian,5,2026-02-26 07:40:55,it a must get so good,0.7,Positive
Pratik Sonawane,1,2026-02-26 07:40:33,"It's not affordable any more, they Spotify family was soon good and price too, but not any more now, you tube premium is good option, I don't know why Spotify invest so much money on advertisement, they don't need advertisement everyone know about Spotify, more than that stop advertisement and reduce the premium",0.5166666666666667,Positive
Erin Franklin,4,2026-02-26 07:40:08,"It's alright, I have noticed it has recently been rather finicky and I would like it if we could create playlists from the app.",0.0,Neutral
Melvin Ambrocio,5,2026-02-26 07:22:17,very nice,0.78,Positive
vicente maldonado,2,2026-02-26 07:13:35,"It's a good app but sometimes it glitches and it's kinda annoying from time to time I can't play my liked songs album I click something it will literally just stop playing all together and malfunction and some other small bugs dj x freezes the app when you press him or type something for request cycles the same music all the time like there isn't like 500 billion songs out there and I was told to delete my app and reinstall, and that only fixes him for like a week every day gets worse",-0.03437500000000002,Neutral
Joshdan Chilare,1,2026-02-26 07:12:35,what happened to sort playlist?,0.0,Neutral
Abdel rahman Nasser,3,2026-02-26 07:11:02,kosom el ads,0.0,Neutral
Offer Richelle,2,2026-02-26 07:10:34,dont like ya,0.0,Neutral
Kimo,4,2026-02-26 07:09:01,3 months trial plus one month paid equals a dime a day juke box. Perfect to get through the holidays without ads.,1.0,Positive
Ol Ga,5,2026-02-26 07:04:19,Excellent audio immense music catalog!,0.5,Positive
Kimberley Sobjack,5,2026-02-26 07:00:02,I Really like listening to spotify,0.2,Positive
Anitha Anitha,5,2026-02-26 06:54:13,nice music sound and all old and new songs,0.3090909090909091,Positive
Kerry Langel,1,2026-02-26 06:52:33,Supports ICE and costs moneyss,0.0,Neutral
Maria Pablo,5,2026-02-26 06:52:18,"I love Spotify, it's the best",0.75,Positive
The Viking,3,2026-02-26 06:50:12,great selection of music but way too many ads and premium is kind of expensive,0.35,Positive
Stephanie Pope-Minnick,5,2026-02-26 06:38:33,I like that apology can play my music with me on anothernapp,0.0,Neutral
Frackson Maotcha,5,2026-02-26 06:32:47,Good,0.7,Positive
Harry McGhee,5,2026-02-26 06:30:21,peak songs amazing wor k Spotify cuh,0.6000000000000001,Positive
Sakthi Maths,5,2026-02-26 06:19:29,super,0.3333333333333333,Positive
Abs Lild,5,2026-02-26 06:17:37,world best 👌,1.0,Positive
Muhammad Bagir,1,2026-02-26 06:13:25,too expensive,-0.5,Negative
RANDY R,2,2026-02-26 06:08:59,works great. the AI DJ is horrible. will be leaving cause of another price increase. now that are getting way to greedy.,-0.09999999999999998,Neutral
Lorenzo cominos,1,2026-02-26 06:05:29,"after being a loyal customer for probably close to two decades now I was forced to delete my account and start over because the app wouldn't accept that I was a paying subscriber and kept forcing obscene amounts of ads into my music. I lost 15 years of collected music and Playlists from that and I'm utterly disgusted with Spotify. It would play 3 minutes of ads, then start over with the same ads. I would pay more for something completely different just to not support Spotify at this point.",-0.07777777777777779,Neutral
A Google user,5,2026-02-26 06:04:53,the best love listening to music when coming home from school 🎒😁,0.75,Positive
Nicole Sharpe,5,2026-02-26 06:02:20,I love it but I do not have it,0.5,Positive
Emmanuel,5,2026-02-26 06:00:31,VERY. GOOD,0.9099999999999999,Positive
Lucita Garga,5,2026-02-26 05:59:58,ilay ❣️❣️,0.0,Neutral
FBI I am waching you,5,2026-02-26 05:48:25,Just free easy good music,0.5111111111111111,Positive
Chukwujekwu Kingsley,5,2026-02-26 05:42:36,"Best Music app ever, I can save and play each and every artist's Playlist anytime",1.0,Positive
Chuck Walton,5,2026-02-26 05:29:58,Spotify has made it much easier if when there is an update to the app and is not working correctly. Just uninstall and then reinstall app. Than get a reset through your email and your up and running in no time. Also loads of music to choose from no matter what your preference is.,0.2,Positive
Sepcha Sihabuddin,5,2026-02-26 05:19:39,good,0.7,Positive
Stefany Cantil,3,2026-02-26 05:19:26,"Finalmente adicionaram a feature (bugada) q permite decidir se a música toca logo após a que está tocando ou se quer add ela no fim da fila. O problema é que fizeram isso de um jeito desnecessariamente complicado, quando poderia ser bem + simples. Ex: no YT Music vc simplesmente clica nos 3 pontinhos ao lado da faixa e escolhe entre Play Next ou Add to Queue. Tão simples! No YT tbm é mais fácil achar a discografia completa do artista. Só uso Spotify pq ele integra com a Alexa.",0.0,Neutral
No caller Id,5,2026-02-26 05:19:21,Just the best experience,1.0,Positive
Alex Palacios,5,2026-02-26 05:18:52,good but some songs are not the original version,0.5375,Positive
Harfri Lazuardi,1,2026-02-26 05:17:35,"lagi dengerin lagu tiba tiba logout sendiri. log in lagi, lagu belum selesai ke logout lagi. 3x kaya gini langsung uninstal.",0.0,Neutral
Nicole Dorado,1,2026-02-26 05:12:38,hell nah,0.0,Neutral
Julian Caballos,5,2026-02-26 05:11:45,just 😊 good,0.7,Positive
María R,1,2026-02-26 05:11:19,"Hace más de 15 años que uso spotify y hoy me voy definitivamente. Estoy cansada de anuncios, subidas de precio para luego no pagar nada a los artistas.",0.0,Neutral
Michelle Spivey,5,2026-02-26 04:48:44,good playlists,0.7,Positive
Paula Williams,5,2026-02-26 04:48:24,love it,0.5,Positive
Lloyd,4,2026-02-26 04:46:08,"The AI is buggy and crashes when I use the voice request function.. pls fix it, and yeah more discounts per a month or two so that regular users will come back and subscribe :}",0.25,Positive
Benjamin Deal,1,2026-02-26 04:45:06,used for 7 years now it's full of ai slop,0.35,Positive
Victor Reyes,1,2026-02-26 04:40:21,took off a song I like,0.0,Neutral
Jo Swinburne,4,2026-02-26 04:40:14,its all here,0.0,Neutral
송형진,5,2026-02-26 04:36:59,good but premium ads are so irritating,0.14999999999999997,Positive
Edmundo Oronan,5,2026-02-26 04:36:57,goods🥰🥰🥰,0.0,Neutral
Dave Rucker,2,2026-02-26 04:35:03,"I drive around for work all day. Roughly 75% of the time when I get back in the car to start driving again, the app has completely forgotten my progress on a podcast that I was listening to 20 minutes previously. I'll be 30+ minutes into a podcast, but I start the car and connect to Bluetooth and it starts right back at the beginning. Also having a premium account and hearing ads as part of Spotify podcasts sucks.",-0.02585034013605442,Neutral
Jefferson Dagdagan,1,2026-02-26 04:34:55,pati ba naman pagpili ng kanta kailangan pa mag bayad wag na,0.0,Neutral
Princess Wiliams,5,2026-02-26 04:34:21,I love this app I can listen to my music anywhere,0.5,Positive
Bernice Adobea,5,2026-02-26 04:33:40,It gud tho,0.0,Neutral
Bonbon Be Me,5,2026-02-26 04:24:58,the best,1.0,Positive
Nevaeh Williams,5,2026-02-26 04:22:40,I think it was good for me.Nice quality music. Love Spotify!,0.6625,Positive
Paul Billingsley,5,2026-02-26 04:22:22,Great listening as well as on-demand music searches make me smile! keep up the good work everyone at Spotify.,0.625,Positive
Adam Perez,5,2026-02-26 04:22:11,amazing and functional,0.6000000000000001,Positive
Selena Wolfe,3,2026-02-26 04:20:16,Spotify's song recs suck.,0.0,Neutral
Damon Williams,2,2026-02-26 04:15:42,Very good app but the problem is too many ads and doesn't continue the songs and when I make my selection got to subscribe or pay for music,0.705,Positive
Mindy McCormack,5,2026-02-26 04:14:53,Better variety than Amazon music!,0.625,Positive
Fariah afuWape,5,2026-02-26 04:14:07,This app is really good has good quality and u can follow your favourite artist or like their song,0.7,Positive
Roslyn Fitzpatrick,4,2026-02-26 04:08:25,"They have so much music available! It's easy to listen to music without WiFi, and I love the music video feature. Although I have Premium, I know that without Premium, the app is basically trash because of limited skips and ads, and that's why my review is 4, not 5 stars.",0.31238095238095237,Positive
Darwin Wambua,4,2026-02-26 04:07:49,i love the app,0.5,Positive
dylan c poginy,1,2026-02-26 04:01:49,"The offline section that I pay for can't be accessed while offline. It completely defeated the point in paying for the app. After 6 years this app has been ruined with the latest and ""greatest"" updates. Don't waste your money here! pay for YouTube premium if you want a playlist without ads.",0.3375,Positive
Rick Flair,4,2026-02-26 03:58:57,"Great autoplay choices, truly amazing. Free premium for the first month or w/e was a great idea. Premium definitely worth it. Would appreciate better playlist capabilities like ""add to start"", multiselect, select all, something similar to shift + select on Windows to select all between 2 entries and also moving multiple entries at a time.",0.4055555555555556,Positive
Joshua Crane,5,2026-02-26 03:56:36,its good 👍,0.7,Positive
Armani Soto,5,2026-02-26 03:55:14,it a good apppllllppp if 58 jq,0.7,Positive
Angela Cole,5,2026-02-26 03:47:10,Best Music and Podcast spot,1.0,Positive
Engr Ifiok ekong,4,2026-02-26 03:46:20,awesome,1.0,Positive
Sean Peters,1,2026-02-26 03:44:28,"why am I getting ads on a paid, premium account?",0.0,Neutral
Angela Winward,5,2026-02-26 03:44:18,love it,0.5,Positive
Shane Osko,5,2026-02-26 03:43:02,buncha adds but it's cool,0.35,Positive
Matt Brady,1,2026-02-26 03:42:34,You can't delete your listen history. The podcast comment review process is horrible. I have had a comment in review for 19 hours. It's gotten worse for me since I made this review. I went to their online help and it's like they couldn't even understand the language I speak.,-0.7,Negative
Emmet Bayless,2,2026-02-26 03:40:10,doesn't let me play sound on my pixel jen 1 watch and I have to play it on a bluetooth speaker,0.4,Positive
Ayushi Arya,1,2026-02-26 03:36:13,little to no features available for free users. better charge a fee for installing this through play stores only.,0.2225,Positive
Monique Plumey,5,2026-02-26 03:33:24,"Always has what I want to listen too, including my audio books 🥰📚",0.0,Neutral
Leo Qhawe Kalala,5,2026-02-26 03:32:55,very Smart music app🔥,0.2785714285714286,Positive
Dax Roberts,1,2026-02-26 03:26:33,lol I give you guys a bad review in reply when I cancel my premium and now the app won't open on any of my devices. real mature Spotify. lol bye I'm gonna go to Tidal,0.21000000000000005,Positive
Emmanuel Victor,5,2026-02-26 03:23:06,good 0,0.7,Positive
Thiago Künsch,1,2026-02-26 03:21:19,I have installed Spotify only to listen to podcasts... but it is simply unusable in the free tier. You can't even reorder the episodes you want to listen to. That is a one start app for me.,0.13333333333333333,Positive
Wendy Pauly,5,2026-02-26 03:20:25,we love it,0.5,Positive
Deacon,3,2026-02-26 03:18:43,UI experience could be better,0.5,Positive
Andrew Smith,1,2026-02-26 03:18:27,what is going on with this App? everytime I listen to a podcast when I turn it back on it restarts especially when using Android Auto. plus JRE glitches more than any other show. please fix,0.09375,Neutral
Owen Lovelace,2,2026-02-26 03:16:01,learn what shuffle means and we good,0.7,Positive
Franco gabriel Magsaysay,3,2026-02-26 03:12:30,My Spotify Premium downloads keep getting automatically removed without the song being removed from my playlists,0.0,Neutral
sleapy j,2,2026-02-26 03:11:57,"Your auto connect phone to computer settings I can't turn off is infuriating. And add a phone number for customer support your ""people"" aren't convincing.",-0.04999999999999999,Neutral
Khal,1,2026-02-26 03:07:04,Actual worst app for music,-0.5,Negative
Mark C. Jackson,5,2026-02-26 03:04:23,by far you beat YouTube music the only reason they would be ahead of you is because they started before you other than that you're number one,-0.008333333333333331,Neutral
